Date,Google,Apple,Amazon,AMD_CLOSE
2/25/2013,398.55777,64.835716,266.940002,2.53
2/26/2013,394.931366,63.402859,260.890015,2.46
2/27/2013,394.832001,64.061432,259.399994,2.53
2/28/2013,397.961639,63.435715,261.809998,2.49
3/1/2013,396.322296,62.57143,263.269989,2.42
3/4/2013,400.048065,61.114285,265.359985,2.4
3/5/2013,411.786713,60.21143,274,2.43
3/6/2013,417.797638,62.072857,275.76001,2.43
3/7/2013,414.335144,60.642857,274.100006,2.55
3/8/2013,414.553741,61.400002,275,2.56
3/11/2013,413.157806,61.392857,273.429993,2.59
3/12/2013,412.670959,62.228573,271,2.61
3/13/2013,411.275055,61.207142,275.23999,2.6
3/14/2013,410.822998,61.832859,269.670013,2.63
3/15/2013,406.605438,62.561428,264.980011,2.6
3/18/2013,399.899048,63.064285,259.299988,2.65
3/19/2013,402.998871,65.64286,258.399994,2.67
3/20/2013,405.775818,65.345711,258.049988,2.75
3/21/2013,403.023712,64.317146,256.109985,2.64
3/22/2013,404.737579,64.940002,254.550003,2.54
3/25/2013,403.580109,66.384285,258.579987,2.51
3/26/2013,404.121582,66.491432,257.049988,2.54
3/27/2013,400.733612,65.208572,258.75,2.55
3/28/2013,399.397308,64.260002,265.820007,2.55
4/1/2013,394.93631,63.128571,266.980011,2.44
4/2/2013,399.670532,61.085712,262.399994,2.39
4/3/2013,404.101715,61.624287,262.119995,2.32
4/4/2013,399.526459,61.965714,259.230011,2.33
4/5/2013,390.490234,60.642857,255.720001,2.29
4/8/2013,386.858856,60.692856,255.919998,2.59
4/9/2013,385.244354,60.908573,258.850006,2.63
4/10/2013,388.930389,61.157143,261.779999,2.61
4/11/2013,393.878204,61.959999,264.73999,2.52
4/12/2013,393.436066,62.021427,270.119995,2.48
4/15/2013,390.435608,61,271.079987,2.4
4/16/2013,390.75354,60.224285,269.309998,2.44
4/17/2013,390.833008,60.03857,270.799988,2.4
4/18/2013,390.137543,57.855713,266.809998,2.51
4/19/2013,382.094849,55.424286,258.160004,2.47
4/22/2013,397.713257,56.091427,259.350006,2.46
4/23/2013,397.911957,57.712856,264.5,2.53
4/24/2013,401.444,56.220001,269.5,2.61
4/25/2013,405.487701,58.747143,271.529999,2.68
4/26/2013,401.190643,58.544285,269.970001,2.64
4/29/2013,399.029694,60.064285,254.899994,2.68
4/30/2013,406.853821,62.157143,249.369995,2.82
5/1/2013,408.970032,63.494286,253.899994,3.22
5/2/2013,407.400269,63.111427,248.940002,3.41
5/3/2013,415.775787,64.472855,256.140015,3.6
5/6/2013,421.389282,65.101425,258.089996,3.61
5/7/2013,428.716614,66.424286,256.309998,3.54
5/8/2013,425.731018,65.577141,256.869995,3.83
5/9/2013,432.606323,65.687141,258.730011,3.86
5/10/2013,434.826874,65.424286,260.880005,3.95
5/13/2013,436.605316,64.501427,262.769989,4.17
5/14/2013,435.914795,64.835716,264.5,4.26
5/15/2013,444.856628,62.737144,267.070007,4.38
5/16/2013,456.530701,60.462856,265.959991,3.83
5/17/2013,452.069733,62.721428,265.829987,4.07
5/20/2013,449.575928,61.701427,269,4.1
5/21/2013,451.076172,62.592857,268.73999,4.02
5/22/2013,448.363831,63.435715,267.390015,3.96
5/23/2013,435.666412,62.278572,260.48999,4.01
5/24/2013,434.802032,62.978573,259.850006,4.05
5/28/2013,438.895416,64.271431,266.480011,4.05
5/29/2013,435.025574,62.857143,265.459991,3.98
5/30/2013,432.149292,63.664288,265.709991,4.04
5/31/2013,431.255096,64.64286,266,4
6/3/2013,433.679321,64.389999,268.959991,3.96
6/4/2013,431.120972,64.745712,267,4.01
6/5/2013,428.468231,63.664288,265.809998,3.91
6/6/2013,429.357452,63.638573,267.75,3.94
6/7/2013,432.397675,62.357143,269.73999,3.91
6/10/2013,438.199921,63.532856,276.679993,4.06
6/11/2013,439.128876,62.248573,276,3.96
6/12/2013,439.86908,62.785713,276.600006,3.9
6/13/2013,431.682312,61.785713,271.5,3.95
6/14/2013,437.20639,62.200001,275,3.94
6/17/2013,436.7742,61.634285,276.350006,4.05
6/18/2013,441.453766,61.651428,279.079987,4.09
6/19/2013,447.772675,61.628571,281.26001,4.07
6/20/2013,444.106506,59.900002,275.140015,3.87
6/21/2013,441.299774,59.784286,274.570007,4
6/24/2013,433.122955,58.200001,271.290009,4.05
6/25/2013,435.795563,57.957142,272.299988,4.15
6/26/2013,434.05191,57.700001,273.980011,4.14
6/27/2013,436.560608,57.035713,279.179993,4.08
6/28/2013,434.623199,55.908573,276.190002,4.08
7/1/2013,440.36087,57.527142,279,4.1
7/2/2013,442.223755,58.565716,281.040009,3.97
7/3/2013,437.107025,60.122856,282,4.06
7/5/2013,442.129364,60.055714,285,4.07
7/8/2013,446.699646,60.015713,286.420013,4
7/9/2013,452.556549,59.085712,291,4.05
7/10/2013,448.805939,59.942856,291.410004,3.98
7/11/2013,453.550079,60.421429,294.98999,4.45
7/12/2013,457.027466,61.092857,298.690002,4.32
7/15/2013,459.163574,60.715714,307.269989,4.4
7/16/2013,460.569427,60.931427,307.299988,4.43
7/17/2013,457.524231,61.385715,306.970001,4.38
7/18/2013,456.525726,61.91143,306.269989,4.64
7/19/2013,440.440369,61.871429,304.390015,4.03
7/22/2013,448.085632,61.351429,309.25,3.9
7/23/2013,452.407532,60.857143,303.160004,3.66
7/24/2013,450.698639,62.704285,303.019989,3.63
7/25/2013,444.046906,62.957142,299,3.7
7/26/2013,440.62912,62.185715,299.549988,3.82
7/29/2013,439.590881,62.971428,311.070007,3.75
7/30/2013,439.86908,64.279999,307.720001,3.82
7/31/2013,443.609741,64.998573,303.910004,3.77
8/1/2013,444.608246,65.10714,303.079987,3.81
8/2/2013,448.800995,65.43,304.630005,3.8
8/5/2013,449.769684,66.384285,303.399994,3.82
8/6/2013,449.421936,66.860001,300.51001,3.72
8/7/2013,444.628113,66.257141,300.149994,3.69
8/8/2013,444.851654,66.265717,298.519989,3.71
8/9/2013,442.402588,65.519997,295.679993,3.65
8/12/2013,440.584412,65.265717,295.790009,3.65
8/13/2013,440.549652,67.277145,295.880005,3.69
8/14/2013,436.346985,71.125717,294.290009,3.82
8/15/2013,429.427002,70.917145,288.790009,3.69
8/16/2013,427.857208,71.449997,286.549988,3.66
8/19/2013,426.08374,72.048569,285.190002,3.6
8/20/2013,431.369354,72.815712,285.880005,3.63
8/21/2013,432.511932,71.941429,285.089996,3.61
8/22/2013,433.530304,72.139999,284.799988,3.63
8/23/2013,436.078735,71.895714,291.209991,3.65
8/26/2013,432.189026,71.535713,290.429993,3.58
8/27/2013,427.032562,71.14286,283.869995,3.39
8/28/2013,422.377838,69.428574,280.359985,3.42
8/29/2013,421.791656,70.235718,281.450012,3.38
8/30/2013,425.115051,70.285713,284.589996,3.27
9/3/2013,424.419556,70.442856,284.730011,3.27
9/4/2013,427.395203,71.365715,288.329987,3.31
9/5/2013,433.927704,71.464287,293.630005,3.41
9/6/2013,438.368835,71.205711,295.329987,3.57
9/9/2013,439.009674,72.14286,297.220001,3.69
9/10/2013,442.134338,72.314285,300.549988,3.87
9/11/2013,441.399109,66.715714,298.910004,3.82
9/12/2013,445.800507,66.928574,299.390015,3.75
9/13/2013,444.359863,67.048569,300.140015,3.83
9/16/2013,445.204376,65.85714,299.820007,3.82
9/17/2013,440.837769,63.994286,297.630005,3.85
9/18/2013,440.311188,66.168571,304.059998,3.93
9/19/2013,450.067749,67.242859,313.769989,3.95
9/20/2013,446.292297,68.285713,312.540009,3.83
9/23/2013,445.179535,70.871429,314.01001,3.79
9/24/2013,440.385712,70.697144,312.429993,3.8
9/25/2013,440.410553,69.885712,314.529999,3.91
9/26/2013,436.312195,69.428574,313.899994,3.89
9/27/2013,434.583466,69.111427,316.920013,3.86
9/30/2013,431.731995,68.178574,313.410004,3.81
10/1/2013,437.280914,68.349998,314.220001,3.86
10/2/2013,438.512909,69.375717,318.040009,3.9
10/3/2013,441.130859,70.072861,320.390015,3.9
10/4/2013,434.672882,69.122856,315.130005,3.91
10/7/2013,430.922272,69.508568,315.23999,3.86
10/8/2013,429.864136,69.991432,311.5,3.72
10/9/2013,425.373352,69.234283,303.420013,3.65
10/10/2013,429.128937,70.188568,304.630005,3.79
10/11/2013,430.216858,69.57,304.769989,3.83
10/14/2013,430.529816,69.975716,309.220001,3.97
10/15/2013,435.050415,71.072861,309.869995,4.02
10/16/2013,440.072754,71.541428,308.380005,4.09
10/17/2013,443.609741,71.425713,307.070007,4.09
10/18/2013,485.134674,72.284286,319.359985,3.53
10/21/2013,502.461975,73.110001,329.890015,3.37
10/22/2013,499.252838,75.201431,327.720001,3.18
10/23/2013,497.265778,74.14286,330.839996,3.14
10/24/2013,512.601013,75,329.630005,3.23
10/25/2013,511.085876,75.902855,358.600006,3.34
10/28/2013,504.319885,75.577141,359.920013,3.32
10/29/2013,506.257294,76.610001,358.959991,3.33
10/30/2013,515.363037,74.230003,362.619995,3.3
10/31/2013,511.140533,75,361.730011,3.34
11/1/2013,512.561279,74.860001,365.630005,3.31
11/4/2013,512.417236,74.442856,360.119995,3.32
11/5/2013,506.878235,74.940002,356.779999,3.33
11/6/2013,509.486298,74.878571,360.450012,3.32
11/7/2013,508.000946,74.225716,355.859985,3.28
11/8/2013,501.115723,73.511429,345.950012,3.27
11/11/2013,501.493256,74.284286,350.589996,3.34
11/12/2013,500.594116,73.952858,352.98999,3.44
11/13/2013,500.122192,74,347.399994,3.54
11/14/2013,513.619385,74.687141,357.390015,3.52
11/15/2013,514.091309,75.225716,367.630005,3.5
11/18/2013,514.528503,74.998573,370.279999,3.47
11/19/2013,512.526489,74.147141,365.820007,3.42
11/20/2013,511.647217,74.175713,367.559998,3.42
11/21/2013,510.181763,73.942856,364.049988,3.37
11/22/2013,513.371033,74.21714,370,3.34
11/25/2013,515.228943,74.431427,373.820007,3.39
11/26/2013,520.911987,74.874283,377.609985,3.45
11/27/2013,527.583557,76.615715,383.5,3.56
11/29/2013,527.648132,78.497147,389.100006,3.64
12/2/2013,528.318787,79.714287,399,3.66
12/3/2013,522.079407,79.757141,390.109985,3.62
12/4/2013,522.288025,80.785713,383.5,3.57
12/5/2013,525.184204,81.807144,386.649994,3.64
12/6/2013,531.438477,80.827141,388.350006,3.66
12/9/2013,532.034607,80.128571,388.109985,3.63
12/10/2013,534.597961,80.511429,383.73999,3.72
12/11/2013,540.186584,81,387.339996,3.68
12/12/2013,536.296875,80.305717,381.26001,3.69
12/13/2013,534.225403,80.407143,385.320007,3.69
12/16/2013,528.562195,79.288574,385.029999,3.59
12/17/2013,532.943726,79.401428,390.649994,3.65
12/18/2013,532.461853,78.528572,389.230011,3.65
12/19/2013,536.893005,78.5,394.269989,3.65
12/20/2013,540.633728,77.918571,396.549988,3.69
12/23/2013,550.340576,81.14286,403.690002,3.75
12/24/2013,553.882507,81.412857,402.519989,3.77
12/26/2013,553.40564,81.157143,401.790009,3.8
12/27/2013,556.381287,80.545715,404.649994,3.78
12/30/2013,556.550171,79.637146,399.410004,3.85
12/31/2013,552.526367,79.167145,394.579987,3.87
1/2/2014,554.125916,79.382858,398.799988,3.95
1/3/2014,553.897461,78.980003,398.290009,4
1/6/2014,552.908875,76.778572,395.850006,4.13
1/7/2014,558.865112,77.760002,395.040009,4.18
1/8/2014,569.297241,76.972855,398.470001,4.18
1/9/2014,568.025513,78.114288,403.709991,4.09
1/10/2014,565.859619,77.118568,402.529999,4.17
1/13/2014,559.595398,75.701431,397.980011,4.13
1/14/2014,565.298279,76.888573,392.130005,4.3
1/15/2014,572.769714,79.074287,398.940002,4.47
1/16/2014,570.83728,79.271431,393.679993,4.38
1/17/2014,574.687195,78.78286,394.26001,4.18
1/21/2014,576.71405,77.284286,403,4.17
1/22/2014,579.535706,78.701431,408,3.67
1/23/2014,576.252014,78.562859,401,3.62
1/24/2014,571.786072,79.14286,398.160004,3.47
1/27/2014,559.41156,78.581429,390.5,3.41
1/28/2014,551.572571,72.68,387.399994,3.54
1/29/2014,555.944092,71.992859,392.160004,3.48
1/30/2014,568.800476,71.791428,393.769989,3.48
1/31/2014,581.890381,70.739998,371.76001,3.43
2/3/2014,585.789978,71.80143,358.980011,3.33
2/4/2014,565.318176,72.264282,349.589996,3.37
2/5/2014,567.995728,72.365715,346,3.31
2/6/2014,571.845703,72.865715,347.399994,3.41
2/7/2014,580.042358,74.482857,358.980011,3.47
2/10/2014,582.113892,74.094284,361.609985,3.63
2/11/2014,586.271851,75.80143,361.839996,3.7
2/12/2014,590.658325,76.707146,356.429993,3.69
2/13/2014,586.559998,76.379997,347.700012,3.7
2/14/2014,593.941956,77.495712,359.339996,3.69
2/18/2014,596.823242,78,355.279999,3.7
2/19/2014,598.755676,77.821426,352.640015,3.72
2/20/2014,597.682678,76.141426,348.799988,3.69
2/21/2014,600.002563,76.112854,352.440002,3.69
2/24/2014,598.785461,74.735718,345.190002,3.71
2/25/2014,604.041321,75.625717,353,3.69
2/26/2014,608.045227,74.80143,359.859985,3.7
2/27/2014,605.258362,73.877144,357.220001,3.71
2/28/2014,606.227051,75.582855,360.600006,3.71
3/3/2014,599.476013,74.774284,358.73999,3.67
3/4/2014,603.574341,75.85714,363.899994,3.7
3/5/2014,603.599182,75.845711,364.130005,3.71
3/6/2014,607.190796,76.112854,374.049988,3.73
3/7/2014,609.436218,75.870003,374.579987,3.95
3/10/2014,603.917114,75.480003,372.690002,3.81
3/11/2014,602.963318,76.492859,370.98999,3.85
3/12/2014,594.334412,76.358574,366.399994,3.91
3/13/2014,600.072083,76.777145,376.619995,3.86
3/14/2014,587.175964,75.541428,372.799988,3.85
3/17/2014,585.814819,75.385712,375.720001,3.8
3/18/2014,593.475037,75.128571,377.320007,3.89
3/19/2014,601.98468,76.03714,378.769989,3.98
3/20/2014,596.097961,75.69857,370.640015,4.05
3/21/2014,599.257385,75.989998,371,4.04
3/24/2014,588.26886,76.917145,360.089996,4.05
3/25/2014,579.232666,77.35714,354.029999,4.05
3/26/2014,577.250549,78.074287,357.130005,4.05
3/27/2014,564.893921,77.145714,343.149994,3.91
3/28/2014,558.131104,76.902855,340.049988,3.88
3/31/2014,563.789978,77.03286,342.399994,4.01
4/1/2014,555.654724,76.822861,338.089996,4.07
4/2/2014,596.708984,77.482857,345.98999,4.06
4/3/2014,566.733765,77.341431,341.820007,4
4/4/2014,571.507568,77.115715,335.149994,4.01
4/7/2014,537.782959,75.431427,320.98999,3.88
4/8/2014,539.632813,75.027145,321.880005,3.99
4/9/2014,556.559753,74.662857,328.470001,3.98
4/10/2014,561.910339,75.811432,330.600006,3.85
4/11/2014,529.637756,74.14286,314,3.65
4/14/2014,535.30658,74.557144,317.670013,3.71
4/15/2014,533.884399,74.324287,316.700012,3.79
4/16/2014,540.03064,74.007141,321.170013,3.76
4/17/2014,545.808838,74.285713,319.76001,3.69
4/21/2014,533.168335,75.048569,323.970001,4.12
4/22/2014,525.749146,75.472855,332,4.3
4/23/2014,530.870972,75.580002,333.059998,4.25
4/24/2014,527.171326,81.172859,329.670013,4.28
4/25/2014,519.652649,80.647141,316.25,4.05
4/28/2014,514.351807,81.828575,304,3.96
4/29/2014,514.073364,84.82,296.440002,4.03
4/30/2014,524.714844,84.662857,298.100006,4.09
5/1/2014,524.227539,84.571426,304.130005,4.2
5/2/2014,530.841125,84.620003,310.420013,4.12
5/5/2014,521.950012,84.305717,306.369995,4.09
5/6/2014,522.357788,85.971428,309.529999,4.01
5/7/2014,512.969421,85.035713,295.559998,3.97
5/8/2014,505.679504,84.035713,290.820007,3.93
5/9/2014,507.95697,83.505714,290.570007,3.87
5/12/2014,520.647217,83.927139,294.299988,3.97
5/13/2014,527.986816,84.571426,302.600006,4.03
5/14/2014,530.085327,84.632858,302.5,3.98
5/15/2014,522.825195,84.957146,298.019989,3.96
5/16/2014,518.538818,84.089996,292.799988,4.02
5/19/2014,516.858032,85.407143,295.76001,4.09
5/20/2014,526.84314,86.358574,297.100006,4.05
5/21/2014,529.98584,86.261429,302.209991,4.1
5/22/2014,538.170837,86.657143,305.049988,4.01
5/23/2014,544.267334,86.75,305.459991,4.02
5/27/2014,552.959534,87.982857,314.410004,4.04
5/28/2014,561.482666,89.431427,309.5,4
5/29/2014,560.269348,89.692856,310.420013,4.03
5/30/2014,557.733276,91.139999,314.429993,4
6/2/2014,557.63385,90.565712,312.589996,3.97
6/3/2014,547.976929,89.779999,305.75,3.94
6/4/2014,538.538818,91.062859,306.850006,4.04
6/5/2014,543.412048,92.314285,308.100006,4.08
6/6/2014,555.00824,92.842857,325,4.06
6/9/2014,554.103271,92.699997,331.570007,4.07
6/10/2014,557.444885,94.730003,327.649994,4.2
6/11/2014,554.948608,94.129997,336,4.29
6/12/2014,554.252441,94.040001,335.549988,4.29
6/13/2014,549.23999,92.199997,327.049988,4.28
6/16/2014,546.256409,91.510002,324.859985,4.44
6/17/2014,541.22406,92.309998,327.540009,4.47
6/18/2014,541.880432,92.269997,328,4.4
6/19/2014,551.209167,92.290001,335.26001,4.36
6/20/2014,553.804871,91.849998,327.76001,4.1
6/23/2014,552.114197,91.32,323.329987,4.01
6/24/2014,562.099304,90.75,327.540009,3.94
6/25/2014,562.168884,90.209999,324.329987,3.96
6/26/2014,577.822815,90.370003,328.48999,4.03
6/27/2014,574.023682,90.82,325.880005,4.11
6/30/2014,575.495605,92.099998,324.980011,4.19
7/1/2014,575.157471,93.519997,325.859985,4.22
7/2/2014,580.159973,93.870003,333.200012,4.34
7/3/2014,580.159973,93.669998,334.829987,4.24
7/7/2014,580.567749,94.139999,337.5,4.26
7/8/2014,574.501099,96.269997,333.100006,4.22
7/9/2014,568.454346,95.440002,324.709991,4.23
7/10/2014,562.815369,93.760002,324.339996,4.29
7/11/2014,568.782532,95.360001,334.709991,4.37
7/14/2014,579.414063,95.860001,347.029999,4.64
7/15/2014,582.536926,96.800003,353.720001,4.53
7/16/2014,584.784546,96.970001,355.619995,4.66
7/17/2014,576.36084,95.029999,353.440002,4.57
7/18/2014,589.757202,93.620003,354.399994,3.83
7/21/2014,588.514038,94.989998,358.100006,3.78
7/22/2014,587.489685,94.68,355.25,3.8
7/23/2014,589.985962,95.419998,359.049988,3.76
7/24/2014,593.188354,97.040001,359.980011,3.73
7/25/2014,587.171387,96.849998,317.299988,3.76
7/28/2014,584.854187,97.82,324.25,3.73
7/29/2014,585.530457,99.330002,321.980011,3.79
7/30/2014,583.342468,98.440002,321.450012,3.82
7/31/2014,577.424988,97.160004,320.01001,3.91
8/1/2014,567.280762,94.900002,313.690002,3.97
8/4/2014,565.928223,96.370003,308.839996,4
8/5/2014,566.932678,95.360001,313.299988,4.08
8/6/2014,558.707947,94.75,310.829987,4.12
8/7/2014,564.893921,94.93,315.209991,4.1
8/8/2014,560.47821,94.260002,311.940002,4.12
8/11/2014,566.873047,95.269997,318.480011,4.14
8/12/2014,561.432922,96.040001,318.890015,4.08
8/13/2014,564.207703,96.150002,327.600006,4.11
8/14/2014,573.029175,97.330002,327.799988,4.08
8/15/2014,574.700012,97.900002,334,4.13
8/18/2014,572.959534,98.489998,335.480011,4.21
8/19/2014,581.800964,99.410004,334.869995,4.27
8/20/2014,582.676147,100.440002,334.679993,4.28
8/21/2014,580.62738,100.57,336.480011,4.24
8/22/2014,580.398682,100.290001,332.98999,4.25
8/25/2014,581.522461,101.790001,333.209991,4.18
8/26/2014,578.081421,101.419998,337,4.19
8/27/2014,574.11322,101.019997,342.089996,4.16
8/28/2014,566.445374,101.589996,340,4.14
8/29/2014,568.205688,102.860001,341.76001,4.17
9/2/2014,568.722839,103.059998,339.980011,4.16
9/3/2014,576.828308,103.099998,342.540009,4.19
9/4/2014,576.828308,98.849998,343.690002,4.15
9/5/2014,580.786499,98.800003,346.299988,4.15
9/8/2014,583.392212,99.300003,344.540009,4.13
9/9/2014,585.679626,99.080002,341.609985,4.08
9/10/2014,578.320068,98.010002,334.299988,4.08
9/11/2014,577.18634,100.410004,329.940002,4.08
9/12/2014,577.822815,101.209999,329.559998,3.96
9/15/2014,569.806885,102.809998,330.910004,3.91
9/16/2014,569.627869,99.800003,321.070007,3.81
9/17/2014,576.838257,101.269997,327.76001,3.82
9/18/2014,583.790039,101.93,325.440002,3.88
9/19/2014,588.265381,102.290001,327.600006,3.81
9/22/2014,590.572693,101.800003,328.48999,3.76
9/23/2014,583.640808,100.599998,322.459991,3.69
9/24/2014,578.280273,102.160004,324.170013,3.7
9/25/2014,584.336975,100.510002,327.98999,3.63
9/26/2014,572.909851,98.529999,320.600006,3.6
9/29/2014,568.623413,98.650002,320.5,3.55
9/30/2014,573.775085,100.809998,321.359985,3.41
10/1/2014,572.860107,100.589996,322.040009,3.35
10/2/2014,564.207703,99.269997,316.920013,3.39
10/3/2014,569.916321,99.440002,320.359985,3.4
10/6/2014,575.634827,99.949997,323.5,3.36
10/7/2014,571.258911,99.43,319.429993,3.28
10/8/2014,562.477173,98.760002,316.579987,3.28
10/9/2014,568.056519,101.540001,321.48999,2.95
10/10/2014,554.670105,100.690002,314.019989,2.72
